event_second,pair_1,ask_1,pair_2,ask_2,pair_3,ask_3,ratio
2024-02-17 14:19:04,SOLBTC,0.0021018,BTCUSDT,51715.91,SOLUSDT,109.45,0.993115574582001
2024-02-17 15:53:41,AVAXBTC,0.0007638,BTCUSDT,51684.16,AVAXUSDT,39.75,0.993116010264151
2024-02-17 15:53:46,AVAXBTC,0.0007638,BTCUSDT,51684.75,AVAXUSDT,39.75,0.9931273471698113
2024-02-17 15:01:35,MATICBTC,1.791e-05,BTCUSDT,51675.11,MATICUSDT,0.9319,0.9931336195943772
2024-02-17 15:54:04,AVAXBTC,0.0007638,BTCUSDT,51685.13,AVAXUSDT,39.75,0.9931346489056603
2024-02-17 14:22:03,SOLBTC,0.0021018,BTCUSDC,51750.0,SOLUSDC,109.52,0.9931350438276115
2024-02-17 15:54:07,AVAXBTC,0.0007638,BTCUSDT,51685.2,AVAXUSDT,39.75,0.9931359939622643
2024-02-17 15:54:08,AVAXBTC,0.0007638,BTCUSDT,51685.24,AVAXUSDT,39.75,0.9931367625660378
2024-02-17 15:54:11,AVAXBTC,0.0007638,BTCUSDT,51685.29,AVAXUSDT,39.75,0.9931377233207547
2024-02-17 15:54:16,AVAXBTC,0.0007638,BTCUSDT,51685.4,AVAXUSDT,39.75,0.9931398369811321
2024-02-17 15:54:19,AVAXBTC,0.0007638,BTCUSDT,51685.45,AVAXUSDT,39.75,0.9931407977358491
2024-02-17 15:54:42,AVAXBTC,0.0007638,BTCUSDT,51686.03,AVAXUSDT,39.75,0.9931519424905662
2024-02-17 15:54:46,AVAXBTC,0.0007638,BTCUSDT,51686.15,AVAXUSDT,39.75,0.9931542483018869
2024-02-17 15:51:44,AVAXBTC,0.0007638,BTCUSDT,51699.33,AVAXUSDT,39.76,0.9931576522635817
2024-02-17 15:51:45,AVAXBTC,0.0007638,BTCUSDT,51699.38,AVAXUSDT,39.76,0.9931586127766601
2024-02-17 14:38:19,MATICBTC,1.791e-05,BTCUSDT,51743.31,MATICUSDT,0.9331,0.993165450755546
2024-02-17 14:38:20,MATICBTC,1.791e-05,BTCUSDT,51743.34,MATICUSDT,0.9331,0.993166026578073
2024-02-17 14:52:47,BNBBTC,0.006859,BTCUSDT,51707.24,BNBUSDT,357.1,0.9931670656958833
2024-02-17 14:37:16,MATICBTC,1.791e-05,BTCUSDT,51760.71,MATICUSDT,0.9334,0.993180111527748
2024-02-17 14:26:52,LINKBTC,0.0003736,BTCUSDT,51703.61,LINKUSDT,19.449,0.9931857008586558
2024-02-17 14:26:57,LINKBTC,0.0003736,BTCUSDT,51703.71,LINKUSDT,19.449,0.9931876217800399
2024-02-17 15:31:23,AVAXBTC,0.0007638,BTCUSDT,51623.06,AVAXUSDT,39.7,0.9931912651889168
2024-02-17 15:30:27,AVAXBTC,0.0007638,BTCUSDT,51623.09,AVAXUSDT,39.7,0.993191842367758
2024-02-17 14:51:00,SOLBTC,0.0021018,BTCUSDT,51719.9,SOLUSDT,109.45,0.9931921957058018
2024-02-17 15:28:55,AVAXBTC,0.0007638,BTCUSDT,51623.11,AVAXUSDT,39.7,0.9931922271536524
2024-02-17 15:30:00,AVAXBTC,0.0007638,BTCUSDT,51623.13,AVAXUSDT,39.7,0.9931926119395466
2024-02-17 15:30:01,AVAXBTC,0.0007638,BTCUSDT,51623.14,AVAXUSDT,39.7,0.9931928043324937
2024-02-17 15:29:45,AVAXBTC,0.0007638,BTCUSDT,51623.21,AVAXUSDT,39.7,0.9931941510831234
2024-02-17 15:53:20,AVAXBTC,0.0007638,BTCUSDT,51676.41,AVAXUSDT,39.74,0.9932169591847005
2024-02-17 14:45:04,MATICBTC,1.792e-05,BTCUSDT,51700.71,MATICUSDT,0.9328,0.9932211869639795
2024-02-17 14:35:37,MATICBTC,1.792e-05,BTCUSDT,51734.24,MATICUSDT,0.9334,0.9932264632526249
2024-02-17 15:27:32,LINKBTC,0.0003785,BTCUSDT,51637.34,LINKUSDT,19.678,0.9932276242504319
2024-02-17 15:31:53,AVAXBTC,0.0007638,BTCUSDT,51600.01,AVAXUSDT,39.68,0.9932481763608871
2024-02-17 15:32:09,AVAXBTC,0.0007638,BTCUSDT,51600.04,AVAXUSDT,39.68,0.9932487538306453
2024-02-17 15:32:14,AVAXBTC,0.0007638,BTCUSDT,51600.15,AVAXUSDT,39.68,0.9932508712197582
2024-02-17 15:32:17,AVAXBTC,0.0007638,BTCUSDT,51600.21,AVAXUSDT,39.68,0.9932520261592742
2024-02-17 15:32:21,AVAXBTC,0.0007638,BTCUSDT,51600.29,AVAXUSDT,39.68,0.9932535660786291
2024-02-17 15:32:26,AVAXBTC,0.0007638,BTCUSDT,51600.37,AVAXUSDT,39.68,0.993255105997984
2024-02-17 15:32:10,AVAXBTC,0.000764,BTCUSDT,51600.07,AVAXUSDT,39.69,0.9932590949861427
2024-02-17 15:54:03,AVAXBTC,0.0007639,BTCUSDT,51685.11,AVAXUSDT,39.75,0.9932642900377359
2024-02-17 16:25:57,BNBBTC,0.006865,BTCUSDT,51537.58,BNBUSDT,356.2,0.9932776156653567
2024-02-17 15:54:37,AVAXBTC,0.0007639,BTCUSDT,51685.85,AVAXUSDT,39.75,0.9932785110691823
2024-02-17 15:47:37,SOLBTC,0.0021017,BTCUSDT,51646.71,SOLUSDT,109.28,0.9932823060669839
2024-02-17 15:51:47,AVAXBTC,0.0007639,BTCUSDT,51699.42,AVAXUSDT,39.76,0.9932894099094567
2024-02-17 16:17:12,DOGEBTC,1.62e-06,BTCUSDT,51547.32,DOGEUSDT,0.08407,0.9932991364339241
2024-02-17 15:43:12,AVAXBTC,0.0007646,BTCUSDT,51600.87,AVAXUSDT,39.72,0.993303756344411
2024-02-17 14:30:15,MATICBTC,1.792e-05,BTCUSDT,51699.86,MATICUSDT,0.9327,0.9933113446981882
2024-02-17 15:52:59,AVAXBTC,0.0007638,BTCUSDT,51682.0,AVAXUSDT,39.74,0.9933243985908404
2024-02-17 15:53:00,AVAXBTC,0.0007638,BTCUSDT,51682.06,AVAXUSDT,39.74,0.9933255517866129
2024-02-17 15:53:01,AVAXBTC,0.0007638,BTCUSDT,51682.08,AVAXUSDT,39.74,0.9933259361852038
2024-02-17 15:52:29,AVAXBTC,0.0007638,BTCUSDT,51695.19,AVAXUSDT,39.75,0.9933279527547171
2024-02-17 15:53:22,AVAXBTC,0.0007639,BTCUSDT,51676.48,AVAXUSDT,39.74,0.993348341016608
